Oldname,Newname
c_v_q.Date,Date
c_v_q.Far.North.District,1
c_v_q.Whangarei.District,2
c_v_q.Kaipara.District,3
c_v_q.Rodney.District..2010.and.earlier.,4
c_v_q.North.Shore.City..2010.and.earlier.,5
c_v_q.Waitakere.City..2010.and.earlier.,6
c_v_q.Auckland.City..2010.and.earlier.,7
c_v_q.Manukau.City..2010.and.earlier.,8
c_v_q.Papakura.District..2010.and.earlier.,9
c_v_q.Franklin.District..2010.and.earlier.,10
c_v_q.Thames.Coromandel.District,11
c_v_q.Hauraki.District,12
c_v_q.Waikato.District,13
c_v_q.Matamata.Piako.District,14
c_v_q.Hamilton.City,16
c_v_q.Waipa.District,17
c_v_q.Otorohanga.District,18
c_v_q.South.Waikato.District,19
c_v_q.Waitomo.District,20
c_v_q.Taupo.District,21
c_v_q.Western.Bay.of.Plenty.District,22
c_v_q.Tauranga.City,23
c_v_q.Rotorua.District,24
c_v_q.Whakatane.District,25
c_v_q.Kawerau.District,26
c_v_q.Opotiki.District,27
c_v_q.Gisborne.District,28
c_v_q.Wairoa.District,29
c_v_q.Hastings.District,30
c_v_q.Napier.City,31
c_v_q.Central.Hawke.s.Bay.District,32
c_v_q.New.Plymouth.District,33
c_v_q.Stratford.District,34
c_v_q.South.Taranaki.District,35
c_v_q.Ruapehu.District,36
c_v_q.Whanganui.District,37
c_v_q.Rangitikei.District,38
c_v_q.Manawatu.District,39
c_v_q.Palmerston.North.City,40
c_v_q.Tararua.District,41
c_v_q.Horowhenua.District,42
c_v_q.Kapiti.Coast.District,43
c_v_q.Porirua.City,44
c_v_q.Upper.Hutt.City,45
c_v_q.Lower.Hutt.City,46
c_v_q.Wellington.City,47
c_v_q.Masterton.District,48
c_v_q.Carterton.District,49
c_v_q.South.Wairarapa.District,50
c_v_q.Tasman.District,51
c_v_q.Nelson.City,52
c_v_q.Marlborough.District,53
c_v_q.Kaikoura.District,54
c_v_q.Buller.District,55
c_v_q.Grey.District,56
c_v_q.Westland.District,57
c_v_q.Hurunui.District,58
c_v_q.Waimakariri.District,59
c_v_q.Christchurch.City,60
c_v_q.Banks.Peninsula.District..February.2006.and.earlier.,61
c_v_q.Selwyn.District,62
c_v_q.Ashburton.District,63
c_v_q.Timaru.District,64
c_v_q.Mackenzie.District,65
c_v_q.Waimate.District,66
c_v_q.Chatham.Islands.Territory,67
c_v_q.Waitaki.District,68
c_v_q.Central.Otago.District,69
c_v_q.Queenstown.Lakes.District,70
c_v_q.Dunedin.City,71
c_v_q.Clutha.District,72
c_v_q.Southland.District,73
c_v_q.Gore.District,74
c_v_q.Invercargill.City,75
c_v_q.Auckland..2011.and.later.,76
