"","UA_code","year","ratio_mean"
"1",1,1993,1.25548101358014
"2",1,1994,1.31544444501524
"3",1,1995,1.38355403460856
"4",1,1996,1.44376632029602
"5",1,1997,1.44834049596381
"6",1,1998,1.44220300178057
"7",1,1999,1.44773719346634
"8",1,2000,1.45240212140747
"9",1,2001,1.4010818710138
"10",1,2002,1.6123363453074
"11",1,2003,1.85659152030087
"12",1,2004,1.69637542513074
"13",1,2005,1.91353408724846
"14",1,2006,1.9529435309588
"15",1,2007,2.02292223345769
"16",1,2008,1.91181704455102
"17",1,2009,1.84583471296527
"18",1,2010,1.67152307512531
"19",1,2011,1.74454866450672
"20",1,2012,1.65233816689936
"21",1,2013,1.6286662786147
"22",1,2014,1.57305572248346
"23",1,2015,1.69513023596328
"24",1,2016,2.08946095110859
"25",1,2017,2.07240378903988
"26",2,1993,1.49873664598475
"27",2,1994,1.50051744500088
"28",2,1995,1.54834306640252
"29",2,1996,1.53989478538414
"30",2,1997,1.54253457077362
"31",2,1998,1.46387023725574
"32",2,1999,1.288726363941
"33",2,2000,1.29982019398111
"34",2,2001,1.33456630409019
"35",2,2002,1.35510163807411
"36",2,2003,1.42600492053581
"37",2,2004,1.73532100859172
"38",2,2005,1.95626187996305
"39",2,2006,1.97483024568925
"40",2,2007,2.02787383201096
"41",2,2008,1.90579683656606
"42",2,2009,1.58414612364019
"43",2,2010,1.60706787359737
"44",2,2011,1.55364060941319
"45",2,2012,1.52940437193992
"46",2,2013,1.50829797794708
"47",2,2014,1.4782107559346
"48",2,2015,1.70549989916874
"49",2,2016,2.05648418768652
"50",2,2017,2.25527628163115
"51",3,1993,1.37392317961107
"52",3,1994,1.37189632561832
"53",3,1995,1.4422819143725
"54",3,1996,1.48878041373539
"55",3,1997,1.57583344083958
"56",3,1998,1.57058815369578
"57",3,1999,1.6189783398603
"58",3,2000,1.58505715178274
"59",3,2001,1.53002352781545
"60",3,2002,1.46536709724715
"61",3,2003,1.54634719355499
"62",3,2004,1.75046922265806
"63",3,2005,1.80728923378143
"64",3,2006,1.92222083152108
"65",3,2007,1.98188130276814
"66",3,2008,1.82053113837097
"67",3,2009,1.71863809872785
"68",3,2010,1.78843555988379
"69",3,2011,1.65725132436207
"70",3,2012,1.56036097481126
"71",3,2013,1.52687726916206
"72",3,2014,1.5495732778934
"73",3,2015,1.47079724091355
"74",3,2016,1.58487383816682
"75",3,2017,1.62892176977296
"76",4,1993,1.47979041077578
"77",4,1994,1.45929260972029
"78",4,1995,1.47351863540652
"79",4,1996,1.52990642255436
"80",4,1997,1.55576204296993
"81",4,1998,1.53598591774955
"82",4,1999,1.64022785046622
"83",4,2000,1.75159843136123
"84",4,2001,1.74325405927272
"85",4,2002,1.78823256910167
"86",4,2003,1.85483068933697
"87",4,2004,2.02707453169109
"88",4,2005,2.20647208875011
"89",4,2006,2.10207075024576
"90",4,2007,2.36195163337047
"91",4,2008,2.1271011381396
"92",4,2009,2.0456401733436
"93",4,2010,2.07300402935104
"94",4,2011,2.03275075203722
"95",4,2012,2.02187572367649
"96",4,2013,1.96848047546234
"97",4,2014,1.97307614007561
"98",4,2015,1.80715154747018
"99",4,2016,2.02743258892974
"100",4,2017,2.13115095506008
"101",5,1993,1.38694707822725
"102",5,1994,1.42241392672422
"103",5,1995,1.40631563603027
"104",5,1996,1.50117263947017
"105",5,1997,1.44849974280722
"106",5,1998,1.45418398465897
"107",5,1999,1.53147340814375
"108",5,2000,1.45965703487619
"109",5,2001,1.4153374643146
"110",5,2002,1.51476125337929
"111",5,2003,2.01072643136971
"112",5,2004,2.10456008515155
"113",5,2005,2.02701404475171
"114",5,2006,2.177089760039
"115",5,2007,1.95536524506449
"116",5,2008,1.85943941805214
"117",5,2009,1.87445294963345
"118",5,2010,1.80080142360476
"119",5,2011,1.78897753368811
"120",5,2012,1.74834971850015
"121",5,2013,1.72127990711238
"122",5,2014,1.66430000703804
"123",5,2015,1.65906102940238
"124",5,2016,1.83582893806772
"125",5,2017,1.91058889429244
"126",6,1993,1.52528967985038
"127",6,1994,1.66650155084751
"128",6,1995,1.826982147219
"129",6,1996,2.01127994569759
"130",6,1997,2.01777409579506
"131",6,1998,1.90956427782149
"132",6,1999,2.01083938310535
"133",6,2000,2.06642426095136
"134",6,2001,2.02052987893163
"135",6,2002,2.11072318584748
"136",6,2003,2.34606280670354
"137",6,2004,2.49253558539874
"138",6,2005,2.54778245135641
"139",6,2006,2.72376272811233
"140",6,2007,2.71952574600234
"141",6,2008,2.48864979478117
"142",6,2009,2.23292343863152
"143",6,2010,2.455114895079
"144",6,2011,2.39837609683977
"145",6,2012,2.45454295884585
"146",6,2013,2.66266761074302
"147",6,2014,2.82593816588773
"148",6,2015,3.28250777769711
"149",6,2016,3.55518288415732
"150",6,2017,3.27917934965548
"151",NA,1993,NA
"152",NA,1994,NA
"153",NA,1995,NA
"154",NA,1996,NA
"155",NA,1997,NA
"156",NA,1998,NA
"157",NA,1999,NA
"158",NA,2000,NA
"159",NA,2001,NA
"160",NA,2002,NA
"161",NA,2003,NA
"162",NA,2004,NA
"163",NA,2005,NA
"164",NA,2006,NA
"165",NA,2007,NA
"166",NA,2008,NA
"167",NA,2009,NA
"168",NA,2010,NA
"169",NA,2011,NA
"170",NA,2012,NA
"171",NA,2013,NA
"172",NA,2014,NA
"173",NA,2015,NA
"174",NA,2016,NA
"175",NA,2017,NA
